Weight	Nested	Procedure	Arew	Brew	Crew	topstim	leftstim	rightstim	reinforced1	reinforced2	reinforced3	jitter1	jitter2	compresp	repeatstim
1		normalproc	1	0	0	A.bmp	B.bmp	C.bmp	7	0	0	6404	1525	7	
1		doubleproc	1	0	0	A.bmp	C.bmp	B.bmp	7	0	0	5327	1664	3	
1		mystnorm	1	0	0	A.bmp	C.bmp	B.bmp	7	0	0	6180	1716	2	
1		doubleproc	1	0	0	A.bmp	B.bmp	C.bmp	7	0	0	2394	1833	7	
1		halfproc	1	1	0	A.bmp	C.bmp	B.bmp	7	0	3	2899	2383	3	
1		halfproc	1	1	0	B.bmp	A.bmp	C.bmp	7	2	0	10255	2805	2	
1		normalproc	0	0	0	A.bmp	C.bmp	B.bmp	0	0	0	2220	4594	7	
1		compdouble	1	0	0	B.bmp	C.bmp	A.bmp	0	0	3	3326	2136	3	
1		normalproc	1	0	0	C.bmp	A.bmp	B.bmp	0	2	0	3216	1719	2	
1		doubleproc	1	0	0	B.bmp	A.bmp	C.bmp	0	2	0	3000	3439	7	
1		doubleproc	1	0	0	B.bmp	A.bmp	C.bmp	0	2	0	2548	1761	3	
1		halfproc	1	0	0	B.bmp	A.bmp	C.bmp	0	2	0	2312	5473	2	
1		halfproc	1	1	0	A.bmp	C.bmp	B.bmp	7	0	3	3920	2956	7	
1		doubleproc	0	0	0	B.bmp	C.bmp	A.bmp	0	0	0	2702	2011	3	
1		doubleproc	1	1	0	C.bmp	A.bmp	B.bmp	0	2	3	2619	4317	2	
1		doubleproc	1	0	0	C.bmp	B.bmp	A.bmp	0	0	3	4205	2191	7	
1		halfproc	1	0	0	A.bmp	B.bmp	C.bmp	7	0	0	2349	3226	3	
1		doubleproc	1	0	0	A.bmp	C.bmp	B.bmp	7	0	0	4479	1563	2	
1		compdouble	1	1	0	B.bmp	A.bmp	C.bmp	7	2	0	2377	2544	7	
1		normalproc	1	0	0	B.bmp	A.bmp	C.bmp	0	2	0	5469	1954	3	
1		normalproc	1	0	0	B.bmp	C.bmp	A.bmp	0	0	3	7088	4043	2	
1		halfproc	1	0	0	A.bmp	C.bmp	B.bmp	7	0	0	2256	2253	7	
1		doubleproc	1	0	0	C.bmp	B.bmp	A.bmp	0	0	3	5244	2326	3	
1		normalproc	0	0	0	A.bmp	B.bmp	C.bmp	0	0	0	2752	1821	2	
1		normalproc	1	1	0	A.bmp	B.bmp	C.bmp	7	2	0	2619	2135	7	
1		normalproc	1	0	0	A.bmp	C.bmp	B.bmp	7	0	0	3655	1695	3	
1		mystnorm	1	0	0	A.bmp	C.bmp	B.bmp	7	0	0	3936	1654	2	
1		doubleproc	1	0	0	B.bmp	C.bmp	A.bmp	0	0	3	2041	4324	7	
1		halfproc	1	0	0	B.bmp	C.bmp	A.bmp	0	0	3	3838	3971	3	
1		halfproc	1	0	0	A.bmp	B.bmp	C.bmp	7	0	0	3641	1852	2	
1		normalproc	1	0	0	C.bmp	B.bmp	A.bmp	0	0	3	5705	5703	7	
1		doubleproc	1	0	0	C.bmp	B.bmp	A.bmp	0	0	3	4242	2913	3	
1		doubleproc	1	1	0	C.bmp	A.bmp	B.bmp	0	2	3	4316	3306	2	
1		doubleproc	0	1	0	A.bmp	C.bmp	B.bmp	0	0	3	2223	1964	7	
1		normalproc	0	0	0	C.bmp	B.bmp	A.bmp	0	0	0	4797	4892	3	
1		normalproc	0	0	0	C.bmp	B.bmp	A.bmp	0	0	0	4338	1849	2	
1		doubleproc	0	0	0	C.bmp	A.bmp	B.bmp	0	0	0	3789	1867	7	
1		compnorm	0	0	0	C.bmp	B.bmp	A.bmp	0	0	0	2691	2446	3	
1		normalproc	0	1	0	C.bmp	B.bmp	A.bmp	0	2	0	5881	3559	2	
1		normalproc	0	0	0	B.bmp	A.bmp	C.bmp	0	0	0	2275	5469	7	
1		halfproc	1	0	0	A.bmp	B.bmp	C.bmp	7	0	0	6974	2203	3	
1		normalproc	1	0	0	B.bmp	A.bmp	C.bmp	0	2	0	3546	7053	2	
1		normalproc	0	0	0	A.bmp	C.bmp	B.bmp	0	0	0	9987	5670	7	
1		normalproc	0	0	0	A.bmp	B.bmp	C.bmp	0	0	0	2567	4565	3	
1		mystnorm	0	1	0	C.bmp	B.bmp	A.bmp	0	2	0	2713	2696	2	
1		normalproc	0	0	0	A.bmp	C.bmp	B.bmp	0	0	0	5079	2095	7	
1		doubleproc	0	0	0	A.bmp	C.bmp	B.bmp	0	0	0	2772	1733	3	
1		halfproc	0	1	0	A.bmp	B.bmp	C.bmp	0	2	0	3169	2544	2	
1		doubleproc	1	0	0	B.bmp	A.bmp	C.bmp	0	2	0	2323	6031	7	
1		normalproc	0	0	0	B.bmp	A.bmp	C.bmp	0	0	0	3165	3238	3	
1		normalproc	1	0	0	A.bmp	C.bmp	B.bmp	7	0	0	2207	2166	2	
1		halfproc	0	0	0	C.bmp	B.bmp	A.bmp	0	0	0	3737	1860	7	
1		halfproc	0	0	0	B.bmp	A.bmp	C.bmp	0	0	0	4054	3361	3	
1		normalproc	0	0	0	C.bmp	B.bmp	A.bmp	0	0	0	3431	2546	2	
1		halfproc	0	0	0	B.bmp	A.bmp	C.bmp	0	0	0	4725	1801	7	
1		compnorm	0	1	0	B.bmp	A.bmp	C.bmp	7	0	0	2147	2278	3	
1		doubleproc	1	0	0	A.bmp	B.bmp	C.bmp	7	0	0	3524	2434	2	
1		doubleproc	0	0	0	A.bmp	C.bmp	B.bmp	0	0	0	4741	3159	7	
1		halfproc	0	0	0	B.bmp	C.bmp	A.bmp	0	0	0	3682	2831	3	
1		halfproc	0	0	0	A.bmp	B.bmp	C.bmp	0	0	0	2706	1846	2	
1		normalproc	1	1	0	C.bmp	A.bmp	B.bmp	0	2	3	3821	3104	7	
1		halfproc	1	1	0	A.bmp	C.bmp	B.bmp	7	0	3	5409	2656	3	
