ID,GROUP,USEABLE
203264,3,0
203521,3,1
204015,3,1
217293,3,1
219619,3,0
220399,3,1
220566,3,1
220684,3,1
220927,3,1
29829,3,1
46069,3,1
115105,3,1
211101,3,1
215211,3,1
215622,3,1
217008,3,1
217173,3,1
217719,3,0
217988,3,1
218219,3,1
218457,3,0
219089,3,1
219392,3,1
219772,3,1
220064,3,1
220186,3,1
220451,3,1
220513,3,1
220523,3,1
220531,3,1
881075,3,1
203803,3,0
210701,4,1
216806,4,1
217048,4,1
217487,4,0
218572,4,1
219658,4,1
219676,4,1
219956,4,0
220024,4,1
220152,4,1
220401,4,0
220553,4,1
220678,4,1
220758,4,1
220796,4,1
220865,4,1
220913,4,1
220947,4,1
220976,4,1
221018,4,0
221036,4,0
221099,4,1
881100,4,0
881209,4,1
220495,4,0
220503,4,0
220914,4,0
206270,2,1
207224,2,1
208510,2,1
208572,2,1
209662,2,1
210100,2,1
210381,2,0
211038,2,1
213704,2,1
217909,2,1
218714,2,1
219809,2,1
219949,2,1
219954,2,1
220477,2,1
220597,2,1
220789,2,0
220909,2,0
220963,2,0
881105,2,1
881106,2,1
881132,2,1
881224,2,1
881230,2,1
220940,2,0
202021,1,0
202200,1,1
210290,1,1
210374,1,1
211253,1,1
211669,1,1
212019,1,1
212020,1,0
212794,1,1
212856,1,1
212857,1,1
213163,1,1
213868,1,1
215537,1,1
216011,1,1
216032,1,1
219044,1,0
219471,1,1
219886,1,1
219944,1,1
220017,1,0
220043,1,1
220051,1,1
220104,1,1
220184,1,1
220244,1,1
220299,1,0
220740,1,1
221050,1,0
221080,1,1
221140,1,0
221164,1,0
207351,1,0
220378,1,0
